#{"t_start": 1686062735.712118, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-64.092845,90,0.638892
-122.633906,98,1.121668
-1445.379135,115,1.347619
-736.874802,82,1.587094
-669.403253,76,1.757474
-416.560601,111,1.926708
-348.729596,113,2.157913
-569.076443,120,2.392749
-420.962522,118,2.644833
-377.965404,130,2.918027
-332.069113,156,3.212126
-225.719698,96,3.529576
-154.295708,111,3.745424
-172.631241,100,3.973258
-335.17187,92,4.180277
-357.676727,130,4.424856
-207.836102,611,4.842983
-487.377991,129,5.973916
-487.198614,83,6.229574
-424.630336,115,6.40525
-59.569825,301,6.694656
-110.427719,143,7.290698
-397.621727,398,7.661657
-84.595384,1000,8.700958
-512.099252,222,10.575765
-544.025615,90,10.994095
-471.977805,201,11.235819
-206.753693,1000,11.860018
-205.353775,312,13.795181
-396.307144,674,14.575881
16.990355,275,15.861669
-316.600486,425,16.488768
-388.106566,592,17.486738
-170.087354,162,18.662912
-197.556595,195,19.019216
-67.583086,273,19.481196
-149.570782,147,20.074459
-200.743896,194,20.396564
-239.378153,138,20.778028
-273.035713,254,21.096052
-282.217819,860,21.827379
-213.484075,548,23.606339
-92.659421,786,24.882474
-169.377647,224,26.434305
-17.420228,346,26.950574
-233.599866,610,27.808096
-201.743656,556,29.091861
-70.801629,1000,30.467052
-227.770498,342,32.534397
-205.083859,475,33.339693
-235.462658,647,34.438032
49.461399,1000,36.009845
-256.83809,449,38.136257
-197.233936,842,39.309288
9.537567,1000,41.238688
-144.928986,576,43.298551
-176.241334,164,44.442523
33.35628,141,44.808278
-82.460284,1000,45.381523
-14.421854,1000,47.537641
12.784778,1000,49.811688
-39.357808,1000,52.088941
53.141486,79,54.046445
4.658718,1000,54.553459
-38.240793,1000,56.891979
16.952323,204,58.772301
-122.972137,565,59.350129
-60.297997,151,60.47689
-4.552668,1000,61.092244
-35.592726,102,63.014664
-121.16809,83,63.232116
-43.849391,405,63.50081
-79.562521,78,64.306225
-44.371849,127,64.509719
-47.668808,1000,65.053132
18.162596,1000,67.221368
-18.522104,1000,69.330573
151.164642,668,71.354001
18.833845,1000,72.936435
86.254638,989,75.060834
-64.596346,1000,77.188768
33.359956,80,79.046049
190.24914,488,79.36291
146.77437,628,80.415731
139.267938,923,81.843057
204.642345,475,83.721194
189.34978,534,84.743362
92.964048,1000,86.046092
156.835602,771,88.120823
151.105788,1000,89.822454
174.020015,453,91.827235
211.54146,493,92.798623
-29.778741,136,93.761116
109.030736,1000,94.314695
-11.360751,151,96.202724
250.795981,458,96.624569
-1.655868,252,97.536187
262.200292,492,98.141182
216.292323,297,99.12931
232.000657,338,99.783313
-75.237248,288,100.472383
-100.509454,85,101.048061
278.761174,396,101.321185
-87.041492,176,102.104854
-35.331059,96,102.450163
-80.331071,81,102.644334
-105.81314,108,102.832294
202.59842,280,103.14261
-64.288536,178,103.77926
253.299776,276,104.208505
258.547933,315,104.811539
131.361439,1000,105.717155
206.830494,694,107.836765
-54.945253,84,109.162738
-21.509028,154,109.379117
-65.192894,94,109.69013
285.449567,377,109.990168
118.73408,1000,111.039326
221.008444,425,113.03262
225.818155,468,113.996687
-95.419128,94,114.884653
-0.960407,150,115.101484
23.000624,1000,115.741401
165.001744,229,117.75797
-100.650775,146,118.26625
225.52839,462,118.71111
-247.385316,601,119.793977
195.846145,280,121.095563
-20.213478,136,121.688499
194.062578,245,122.027883
-11.117092,164,122.556533
-37.031126,118,122.900453
176.620971,237,123.223712
255.316428,316,123.786103
-42.082155,293,124.469233
105.487597,1000,125.30453
250.329982,262,127.19375
214.891359,288,127.787465
209.4545,365,128.427685
218.686812,316,129.18253
233.943674,541,129.94271
200.558614,285,131.023278
225.177744,490,131.727632
-238.008835,263,132.703035
239.715583,261,133.266166
-73.32096,176,133.782718
-62.501694,148,134.166844
232.328463,387,134.547563
194.377754,248,135.3172
207.992085,504,135.927768
-6.257761,207,136.917013
252.432691,330,137.391959
187.537071,278,138.090114
272.073887,747,138.814201
142.360638,183,140.224359
208.861206,455,140.710408
-55.676782,185,141.580254
267.261586,334,142.011205
207.040032,319,142.748358
-34.409323,1000,143.650292
229.481809,360,145.688943
63.597442,263,146.42907
224.968673,230,147.017556
227.788893,326,147.549519
183.339383,494,148.301648
214.392547,266,149.342277
226.520629,216,149.892422
245.220518,223,150.382591
-28.97083,66,150.836099
-65.158089,73,150.985503
274.698593,274,151.23795
-83.434,134,151.842093
198.871408,230,152.185775
263.319137,364,152.749805
-8.723061,187,153.529591
251.575339,228,153.98746
173.974911,264,154.526303
258.585671,231,155.108108
222.730828,225,155.633431
285.833293,260,156.180327
254.353754,249,156.776474
235.172573,346,157.381322
-136.274438,737,158.320142
-169.08774,254,159.825131
249.733852,241,160.367927
215.646198,249,160.902402
223.550804,315,161.467675
249.271956,383,162.159987
213.601268,344,162.976549
291.599666,372,163.730355
232.476597,306,164.496569
247.795022,301,165.139338
288.244232,278,165.841915
265.701576,259,166.46494
184.624383,366,167.119769
231.471451,303,167.931889
-53.112132,1000,168.864248
-264.624465,534,170.977827
