#{"t_start": 1686561729.052808, "env_id": "CartPole-v1"}
r,l,t
12.0,12,1.069627
13.0,13,1.076582
30.0,30,1.13869
57.0,57,1.250327
15.0,15,1.258988
32.0,32,1.317504
16.0,16,1.366184
18.0,18,1.417039
20.0,20,1.429325
202.0,202,1.785135
117.0,117,2.00644
121.0,121,2.218923
188.0,188,2.541651
340.0,340,3.087771
160.0,160,3.553092
106.0,106,3.75867
117.0,117,3.934994
120.0,120,4.148494
172.0,172,4.423583
163.0,163,4.734519
169.0,169,5.011111
191.0,191,5.345047
152.0,152,5.855669
208.0,208,6.196394
194.0,194,6.522552
500.0,500,7.419477
500.0,500,8.989341
500.0,500,9.862847
500.0,500,10.724875
500.0,500,12.20937
500.0,500,13.072903
500.0,500,14.608686
500.0,500,15.42678
500.0,500,16.332501
500.0,500,17.808358
500.0,500,18.679237
500.0,500,20.209907
500.0,500,21.065405
500.0,500,21.941784
500.0,500,23.503703
500.0,500,24.34628
500.0,500,25.94983
500.0,500,26.805578
500.0,500,27.741495
